,State_FIPS_Code,Name,State_Abbreviation,Year,Annual_Federal_Minimum,Annual_State_Minimum,Annual_Federal_Average,Annual_State_Average,Annual_Federal_Maximum,Annual_State_Maximum
1562,34,New Jersey,NJ,2017,7.25,8.4399995803833,7.25,8.4399995803833,7.25,8.4399995803833
1563,34,New Jersey,NJ,2018,7.25,8.600000381469727,7.25,8.600000381469727,7.25,8.600000381469727
1564,34,New Jersey,NJ,2019,7.25,8.850000381469727,7.25,9.429726600646973,7.25,10.0
1565,34,New Jersey,NJ,2020,7.25,11.0,7.25,11.0,7.25,11.0
1566,34,New Jersey,NJ,2021,7.25,12.0,7.25,12.0,7.25,12.0
1567,34,New Jersey,NJ,2022,7.25,13.0,7.25,13.0,7.25,13.0
1568,35,New Mexico,NM,1974,2.0,2.0,2.0,2.0,2.0,2.0
1569,35,New Mexico,NM,1975,2.1,2.0999999046325684,2.100000000000014,2.0999999046325684,2.1,2.0999999046325684
1570,35,New Mexico,NM,1976,2.3000000000000003,2.299999952316284,2.299999999999987,2.299999952316284,2.3000000000000003,2.299999952316284
1571,35,New Mexico,NM,1977,2.3000000000000003,2.299999952316284,2.2999999999999874,2.299999952316284,2.3000000000000003,2.299999952316284
1572,35,New Mexico,NM,1978,2.65,2.6500000953674316,2.6499999999999844,2.6500000953674316,2.65,2.6500000953674316
1573,35,New Mexico,NM,1979,2.9,2.9000000953674316,2.8999999999999875,2.9000000953674316,2.9,2.9000000953674316
1574,35,New Mexico,NM,1980,3.1,3.0999999046325684,3.1000000000000054,3.0999999046325684,3.1,3.0999999046325684
1575,35,New Mexico,NM,1981,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1576,35,New Mexico,NM,1982,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1577,35,New Mexico,NM,1983,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1578,35,New Mexico,NM,1984,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1579,35,New Mexico,NM,1985,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1580,35,New Mexico,NM,1986,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1581,35,New Mexico,NM,1987,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1582,35,New Mexico,NM,1988,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1583,35,New Mexico,NM,1989,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1584,35,New Mexico,NM,1990,3.35,3.3499999046325684,3.6890410958903854,3.6890411376953125,3.8000000000000003,3.799999952316284
1585,35,New Mexico,NM,1991,3.8000000000000003,3.799999952316284,4.139041095890412,4.139040946960449,4.25,4.25
1586,35,New Mexico,NM,1992,4.25,4.25,4.25,4.25,4.25,4.25
1587,35,New Mexico,NM,1993,4.25,4.25,4.25,4.25,4.25,4.25
1588,35,New Mexico,NM,1994,4.25,4.25,4.25,4.25,4.25,4.25
1589,35,New Mexico,NM,1995,4.25,4.25,4.25,4.25,4.25,4.25
1590,35,New Mexico,NM,1996,4.25,4.25,4.3756830601092895,4.375682830810547,4.75,4.75
1591,35,New Mexico,NM,1997,4.75,4.75,4.883698630137017,4.883698463439941,5.15,5.150000095367432
1592,35,New Mexico,NM,1998,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1593,35,New Mexico,NM,1999,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1594,35,New Mexico,NM,2000,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1595,35,New Mexico,NM,2001,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1596,35,New Mexico,NM,2002,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1597,35,New Mexico,NM,2003,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
